Article,Searches,Social_References
A1,193,97
B2,70,53
C3,211,53
D4,45,23
E5,183,137
F6,83,42
G7,220,55
H8,72,18
I9,211,53
J10,24,18
K11,112,56
L12,236,177
M13,276,138
N14,118,30
O15,220,165
P16,137,103
Q17,82,21
R18,310,78
S19,164,123
T20,52,26
U21,24,6
V22,179,45
W23,110,55
X24,284,142
Y25,212,159
Z26,140,35
A27,110,28
B28,69,35
C29,117,29
D30,201,50
E31,21,11
F32,140,70
G33,80,60
H34,253,127
I35,287,215
J36,287,144
K37,222,56
L38,252,126
M39,193,145
N40,70,53
O41,246,123
P42,20,5
Q43,204,102
R44,60,15
S45,38,10
T46,135,101
U47,157,39
V48,214,161
W49,254,127
X50,171,86
Y51,185,93
Z52,95,24
A53,201,151
B54,195,98
C55,23,6
D56,165,124
E57,77,39
F58,158,40
G59,128,64
H60,147,74
I61,40,10
J62,99,25
K63,101,25
L64,225,113
M65,248,62
N66,59,15
O67,158,40
P68,224,168
Q69,28,7
R70,147,37
S71,21,5
T72,103,77
U73,147,110
V74,43,11
W75,21,11
X76,47,35
Y77,286,72
Z78,72,36
A79,209,52
B80,122,61
C81,211,53
D82,183,137
E83,100,50
F84,308,77
G85,105,53
H86,188,94
I87,170,85
J88,221,55
K89,118,59
L90,38,19
M91,132,99
N92,225,56
O93,86,22
P94,271,203
Q95,133,67
R96,24,18
S97,120,90
T98,42,21
U99,22,11
V100,200,50
W101,169,42
X102,140,105
Y103,107,80
Z104,184,92
A105,21,5
B106,154,39
C107,23,12
D108,110,28
E109,172,86
F110,112,28
G111,296,222
H112,190,48
I113,21,11
J114,138,35
K115,114,57
L116,140,35
M117,85,43
N118,42,21
O119,290,218
P120,239,120
Q121,160,120
R122,143,107
S123,202,101
T124,121,61
U125,284,213
V126,185,46
W127,145,109
X128,156,117
Y129,144,36
Z130,75,38
A131,63,47
B132,39,20
C133,256,64
D134,199,100
E135,155,78
F136,46,35
G137,177,44
H138,127,64
I139,70,35
J140,173,130
K141,21,16
L142,122,31
M143,170,85
N144,222,111
O145,223,112
P146,146,37
Q147,144,108
R148,154,39
S149,20,15
T150,42,11
U151,158,40
V152,52,39
W153,215,161
X154,69,35
Y155,179,45
Z156,63,16
A157,108,54
B158,40,20
C159,100,75
D160,46,35
E161,56,42
F162,111,56
G163,180,45
H164,210,53
I165,251,63
J166,51,13
K167,43,22
L168,44,22
M169,115,29
N170,295,74
O171,120,60
P172,1930,1448
Q173,284,142
R174,106,53
S175,155,78
T176,255,191
U177,76,38
V178,276,207
W179,20,10
X180,49,37
Y181,39,29
Z182,178,134
A183,24,12
B184,208,104
C185,58,29
D186,189,95
E187,225,169
F188,174,44
G189,57,29
H190,277,69
I191,222,111
J192,297,149
K193,127,32
L194,19,14
M195,72,18
