Article,Units_sold
J10,12
U21,12
E31,12
P42,12
C55,12
Q69,12
S71,12
W75,12
R96,12
U99,12
A105,12
C107,12
I113,12
K141,12
S149,12
W179,12
A183,12
L194,12
R200,12
D212,12
U229,12
A235,12
B236,12
M247,12
X258,12
I269,12
K271,12
Z286,12
I295,12
T306,12
B314,12
F318,12
G319,12
I321,12
K323,12
P328,12
Y337,12
A339,12
I347,12
J348,12
S357,12
J374,12
O379,12
S383,12
C393,12
I399,12
K401,12
L402,12
Y441,12
A443,12
C445,12
E447,12
J478,12
R486,12
G501,12
L506,12
Q511,12
C523,12
F526,12
K557,12
K583,12
M585,12
R616,12
V620,12
Z624,12
N638,12
P640,12
J660,12
O691,12
O717,12
X726,12
M741,12
N742,12
S747,12
H762,12
N768,12
O769,12
Y779,12
C783,12
L792,12
T800,12
Z806,12
B808,12
T826,12
Y831,12
G839,12
R850,12
N872,12
V880,12
I893,12
M897,12
T904,12
D914,12
L948,12
Q953,12
U957,12
W959,12
B964,12
L974,12
P978,12
Q1005,12
M1027,12
A1041,12
R1058,12
Y1065,12
S1085,12
Z1092,12
B1094,12
M1105,12
S1111,12
V1114,12
J1128,12
S1163,12
K1207,12
R1214,12
O1237,12
Q1239,12
V1270,12
G1281,12
N1288,12
V1296,12
N1314,12
W1349,12
M1365,12
P1368,12
K1389,12
L1390,12
O1419,12
W1427,12
X1428,12
B1432,12
Q1447,12
K1467,12
B1484,12
F1488,12
M1495,12
O1497,12
P1498,12
T1502,12
S1527,12
V1530,12
H1542,12
T1554,12
W1557,12
P1576,12
E1591,12
I1595,12
D1616,12
G1619,12
V1634,12
X1636,12
B1640,12
S1657,12
M1677,12
A1691,12
R1708,12
U1711,12
D1720,12
R1734,12
D1746,12
E1747,12
Z1768,12
S1787,12
Z1794,12
R1812,12
D1824,12
K1831,12
G1853,12
H1880,12
T1892,12
U1893,12
X1896,12
A1899,12
H1906,12
S1917,12
T1918,12
W1921,12
Y1923,12
Z1924,12
U1945,12
H1958,12
K1961,12
R1968,12
V1972,12
H1984,12
X2000,12
C2031,12
E2033,12
Q2045,12
B2056,12
E2059,12
J2064,12
C2083,12
Z2106,12
C2109,12
Y2131,12
Z2132,12
R2176,12
D2188,12
N2198,12
R2202,12
T2204,12
K2221,12
L2222,12
M2223,12
F2242,12
E2267,12
H2270,12
L2274,12
U2283,12
V2284,12
B2290,12
H2296,12
K2325,12
S2333,12
C2343,12
K2377,12
S2385,12
W2389,12
H2400,12
Q2409,12
Z2418,12
P2434,12
Q2435,12
X2468,12
L2482,12
F2502,12
O2511,12
F2528,12
C2551,12
E2553,12
J2558,12
L2560,12
P2564,12
Y2573,12
S2593,12
C2629,12
U2647,12
H2660,12
I2661,12
K2663,12
O2667,12
Y2677,12
K2689,12
D2708,12
E2735,12
G2737,12
D2760,12
T2776,12
U2777,12
C2785,12
W2805,12
P2824,12
U2829,12
C2863,12
G2867,12
V2908,12
Y2911,12
H2920,12
N2926,12
B2940,12
F2944,12
Q2955,12
B2966,12
D2968,12
F2970,12
L2976,12
P2980,12
D2994,12
K3001,12
V3012,12
M3029,12
G3049,12
V3064,12
X3066,12
H3076,12
H3102,12
L3106,12
R3112,12
K3131,12
Z3146,12
A3147,12
G3153,12
I3155,12
O3161,12
B3174,12
J3182,12
J3208,12
M3237,12
G3257,12
M3263,12
G3283,12
L3288,12
T3296,12
Z3302,12
D3306,12
E3307,12
Z3328,12
D3332,12
O3343,12
R3346,12
Y3353,12
O3369,12
R3398,12
S3399,12
Z3406,12
I3415,12
S3451,12
W3455,12
B3460,12
R3476,12
D3488,12
O3499,12
O3525,12
W3533,12
A3537,12
Q3553,12
F3568,12
L3574,12
C3591,12
E3619,12
I3623,12
U3635,12
R3658,12
A3667,12
S3685,12
V3688,12
H3700,12
A3719,12
I3727,12
Q3735,12
X3768,12
Z3770,12
H3778,12
J3780,12
I3831,12
N3836,12
X3872,12
L3886,12
M3887,12
Q3891,12
A3901,12
U3921,12
M3939,12
O3941,12
R3944,12
T3946,12
D3956,12
O3967,12
P3968,12
P3994,12
R3996,12
B4006,12
G4011,12
O4019,12
P4020,12
W4027,12
K4041,12
N4044,12
A4057,12
E4061,12
G4063,12
H4064,12
U4103,12
A4109,12
D4112,12
O4123,12
B4136,12
F4140,12
O4149,12
R4152,12
Y4159,12
A4161,12
B4188,12
T4206,12
X4210,12
Z4212,12
A4213,12
B4214,12
D4216,12
D4242,12
F4244,12
O4253,12
S4257,12
L4276,12
X4288,12
A4291,12
R4308,12
N4330,12
S4335,12
X4340,12
R4360,12
Z4368,12
D4372,12
K4379,12
X4418,12
D4424,12
I4429,12
I4455,12
M4459,12
W4469,12
B4474,12
U4519,12
W4521,12
X4548,12
O4591,12
Q4593,12
T4596,12
Z4602,12
O4617,12
U4623,12
X4626,12
Y4627,12
Z4628,12
C4631,12
R4646,12
G4661,12
H4662,12
I4689,12
B4734,12
D4788,12
P4800,12
S4803,12
W4807,12
Q4827,12
V4832,12
B4864,12
D4866,12
E4867,12
J4872,12
O4877,12
T4882,12
W4885,12
A4889,12
E4893,12
L4900,12
P4930,12
K4951,12
M4953,12
X4964,12
K4977,12
O5007,12
K5029,12
H5052,12
Q5061,12
F5076,12
Y5095,12
Z5096,12
H5104,12
J5106,12
T5142,12
F5154,12
T5168,12
I5209,12
M5239,12
O5241,12
X5250,12
C5255,12
L5264,12
U5273,12
G5285,12
T5350,12
G5363,12
I5365,12
T5376,12
B5410,12
D5412,12
E5413,12
J5418,12
L5420,12
V5430,12
Y5433,12
I5469,12
J5470,12
W5483,12
L5498,12
Z5512,12
D5516,12
P5528,12
K5549,12
N5552,12
X5562,12
J5574,12
L5576,12
