Article,MATERIAL_CONTENT_CODE,PRODUCT_TYPES,BUSINESS_SEGMENTS,NRF_COLOR_CODE,MODEL,Sustainablity,MARKETING_CATEGORY
A1,TRFU,44,97528,1,GKD49,Organic materials,GK6
B2,AT2E,1,3030975,1,21972,Organic materials,2115
C3,TREU,39,303034,997,KYH28,Low carbon footprint,KY25
D4,TRK4,51,30305,400,GUP97,Reegrow,GU16
E5,TRK4,19,886,1,DBI07,Recycleable,DB7
F6,AT2F,1,9752975,1,GVT47,Vegan,GV13
G7,DO0N,78,30307,1,FTS61,Not Applicable,FT5
H8,AT2E,1,30934,689,FCF74,Vegan,FC0
I9,AT2E,1,30934,300,DBG98,Reegrow,DB18
J10,AT2E,161,3030975,1,AQT17,Primeblue nylon,AQ11
K11,AT28,161,30342,415,LEZ45,Primeblue nylon,LE1
L12,AT2E,1,97522,50,IYG68,Low carbon footprint,IY16
M13,AT3N,1,30308,610,KYI35,Recycled plastic,KY10
N14,TRK4,37,975530,400,JLE62,PFC free,JL21
O15,AP18,45,975534,400,GNG30,Primeblue nylon,GN15
P16,AT2E,1,30308,100,EPK38,Organic materials,EP7
Q17,AP0Q,156,975349,1,EPF14,Reegrow,EP9
R18,AT2E,1,97522,741,ELW35,Low carbon footprint,EL18
S19,M3X,39,9759758,1,FRU84,Primeblue nylon,FR15
T20,TRK4,39,303034,610,EEE64,PFC free,EE6
U21,TRKR,39,3078,1,IWV38,Recycled plastic,IW5
V22,DO07,14,303030,1,BG725,Primeblue nylon,BG3
W23,TRGG,267,30345,35,GEW88,Vegan,GE20
X24,AT2R,163,3030975,100,LDW23,Vegan,LD5
Y25,AT2E,1,9752975,100,FXI56,Low carbon footprint,FX20
Z26,TRK4,39,303034,610,KXN79,Organic materials,KX21
A27,AT51,1,3030975,1,IB130,Not Applicable,IB13
B28,AT2X,1,30934,1,CYX22,Primeblue nylon,CY12
C29,TRK4,30,897534,23,HJ629,Primeblue nylon,HJ8
D30,AT2E,1,9752975,52,MMR24,Not Applicable,MM9
E31,DO07,14,8342,998,IXU12,PFC free,IX12
F32,DO07,252,303030,468,LDR05,Low carbon footprint,LD17
G33,AT2E,1,9752975,1,FYT25,Organic materials,FY14
H34,PRJN,45,975534,997,LSZ20,Reegrow,LS17
I35,DO07,267,303030,1,KED58,Recycled plastic,KE14
J36,TRK7,267,303030,400,GDH27,Recycled plastic,GD2
K37,AT29,1,3030975,100,GVS75,Vegan,GV9
L38,ATQ7,1,3085,100,DQV02,Vegan,DQ17
M39,DO07,267,303030,35,IWR60,Reegrow,IW9
N40,M3X,39,897530,400,FBB23,Not Applicable,FB25
O41,TRK4,14,97526,1,EOT90,Organic materials,EO3
P42,AT2E,1,3085,1,FRQ05,Low carbon footprint,FR0
Q43,AT2E,1,87975,1,IPH10,Recycled plastic,IP19
R44,AT2Q,3,3096,40,ELW34,Not Applicable,EL2
S45,AT2X,1,3030975,1,EBE70,Low carbon footprint,EB22
T46,TREU,39,303034,997,KXO35,Recycled plastic,KX10
U47,AT2E,1,3030975,730,47903,Low carbon footprint,4719
V48,TRK7,217,3079,35,AS177,Reegrow,AS1
W49,AT2E,1,9752975,1,EBN72,Recycleable,EB19
X50,AT2O,1,30302,100,KWZ30,Recycleable,KW24
Y51,AT3P,1,30308,100,LGN37,Low carbon footprint,LG12
Z52,AT2E,1,97522,690,KOE72,Primeblue nylon,KO2
A53,DO01,29,303034,250,LGI79,Vegan,LG24
B54,AT2X,1,3095,51,21525,Primeblue nylon,210
C55,TRTJ,37,975530,400,KYX40,Reegrow,KY23
D56,PRJN,29,975346,689,HFA61,Recycleable,HF7
E57,AT2E,1,309975,1,GZR93,Reegrow,GZ24
F58,DO0S,216,303034,250,CFB64,Organic materials,CF23
G59,TRVF,217,83430,650,GVI00,Organic materials,GV25
H60,AT2C,3,3096,741,FWM98,Reegrow,FW20
I61,AT2E,1,309975,26,FSC93,Recycled plastic,FS8
J62,AT2E,1,97522,1,LEF98,PFC free,LE17
K63,TRZR,216,303034,1,KXJ18,Organic materials,KX14
L64,AT2X,1,3095,100,GDJ56,PFC free,GD8
M65,AT2E,1,3030975,50,JAC66,Vegan,JA18
N66,PRDY,267,303034,650,WF014,Vegan,WF16
O67,AT2E,1,3095,1,KZJ72,Primeblue nylon,KZ24
P68,AT2V,1,30308,100,23772,Recycleable,2317
Q69,AT2E,1,30308,1,HBC27,Primeblue nylon,HB11
R70,AT2E,1,97522,100,BTG01,PFC free,BT20
S71,DO07,14,303034,100,13844,Primeblue nylon,1311
T72,AT2E,1,97522,100,KYI76,Low carbon footprint,KY5
U73,TRKX,45,3078,1,KYJ92,Organic materials,KY17
V74,M3X,39,897534,100,KYO11,Not Applicable,KY17
W75,DOLU,215,878,315,DVF21,Not Applicable,DV15
X76,ATAF,1,3030975,113,LKZ70,Recycled plastic,LK8
Y77,PRKQ,217,8342,1,FTH79,Organic materials,FT20
Z78,TRK4,21,342975,415,JND06,Not Applicable,JN12
A79,PRJP,39,8342,36,23047,Primeblue nylon,2313
B80,AT2E,1,30302,100,LVI84,Reegrow,LV5
C81,TRFU,288,975534,100,EFI22,PFC free,EF14
D82,AT2O,1,3030975,100,KYV21,Recycleable,KY16
